id,SIREN,ANNEE_CREATION,target_delta_1st_round,NAME,TAGLINE,ZIPCODE,HQ REGION,HQ COUNTRY,HQ CITY,TEAM (EDITORIAL),target_total_funding,fundoing_new,LAST FUNDING,LAST FUNDING DATE,FIRST FUNDING DATE,B2B/B2C,REVENUE MODEL,10_launch_year,11_industry_simplified,INDUSTRIES,SUB INDUSTRIES,DELIVERY METHOD,GROWTH STAGE,VALUATION (EUR),VALUATION DATE,target_rounds,FOUNDERS,0_founders_number,6_was_1_change_founders,FOUNDERS STATUSES,5_has_female,5_bis_mixte?,FOUNDERS GENDERS,FOUNDERS ACADEMIC BACKGROUND,FOUNDERS YEARS OF EDUCATION,4_phd_founder,FOUNDERS HAS A PHD,7_MBA,FOUNDERS HAS A MBA,FOUNDERS HIGHEST DEGREE YEAR,FOUNDERS UNIVERSITIES,FOUNDERS COMPANY EXPERIENCE,FOUNDERS LINKEDIN,FOUNDERS - TOP 25 PAST FOUNDERS,FOUNDERS - TOP 25 UNIVERSITIES,FOUNDERS EXPERIENCE,FOUNDERS FOUNDED COMPANIES TOTAL FUNDING,FOUNDERS IS SERIAL,3_one_founder_serial,3_one_founder_was_serial_at_creation,IS FOUNDERS FIRST COMPANY,LISTS,PRIVATE LISTS,COMPANY STATUS,ALL TAGS,FOUNDERS ESTIMATED AGE,FOUNDERS POSITION,CEO,CEO SINCE,2_ceo_profile,8_age_moyen,CEO ESTIMATED AGE,CEO ACADEMIC BACKGROUND,1_ceo_serial,NUMBER OF ALUMNI FOUNDERS THAT RAISED > 10M,NUMBER OF ALUMNI EUROPEAN FOUNDERS THAT RAISED > 10M,TECHNOLOGIES
,821279734,21/6/2016,#NUM!,H4 ORPHAN PHARMA,,,,,,,,,,,,,,,,,,,,,,,Gaëtan Terrasse,1,0,current,0,0,male,university,8+,1,yes,0,no,#N/A,Université de Besançon,mixte,https://www.linkedin.com/in/ga%C3%ABtan-terrasse-6a7a48194/,,,#N/A,,yes,1,1,no,67,CEO,Gaëtan Terrasse,2016,67,CEO,Gaëtan Terrasse,2016,mixte,67,67,Université de Besançon,1,,,
,‎838012136,8/3/2018,#NUM!,HADDOCK,,,,,,,,,,,,,,,,,,,,,,,Erik de Laurens;Edouard de Dreuzy,2,0,current;current,0,0,male;male,other;mixte,5+;5+,0,no;no,0,no;no,2011;1998,Royal College of Art;EDHEC Business School,mixte;start-up,https://www.linkedin.com/in/erik-de-laurens-b8924312/;https://www.linkedin.com/in/edouarddedreuzy/,,,8;17,,no;yes,1,1,yes;no,36;41,CEO;co-founder,Erik de Laurens,2018,36;41,CEO;co-founder,Erik de Laurens,2018,mixte,36,36,Royal College of Art,0,,,
,824662522,22/12/2016,#NUM!,HALOMIX,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
,801395070,radiée,#VALUE!,HELIXEM,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
,838721645,29/3/2018,#NUM!,HLOTEE,,,,,,,,,,,,,,,,,,,,,,,Karim Rami,1,0,current,0,0,male,mixte,5+,0,no,1,yes,2014,Université de Montpellier,corporate,https://www.linkedin.com/in/karim-rami-6b6a261a/,,,12,,no,0,0,yes,39,CEO,Karim Rami,2018,39,CEO,Karim Rami,2018,engineer,39,39,Université de Montpellier,0,,,
,843912767,7/11/2018,#NUM!,HOASYS,,,,,,,,,,,,,,,,,,,,,,,Stefania Residori,1,0,current,1,1,female,#N/A,8+,1,yes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,#N/A,#N/A,#N/A,#N/A,57,CEO,Stefania Residori,2018,57,CEO,Stefania Residori,2018,scientific,57,57,#N/A,#N/A,,,
,790228100,radiée,#VALUE!,HPC PHARMA,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
,532746229,radiée,#VALUE!,HUMAN HEPCELL,,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
,832538102,6/10/2017,#NUM!,HWQ CONCEPT,,,,,,,,,,,,,,,,,,,,,,,David Perrin,1,0,current,0,0,male,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.linkedin.com/in/david-perrin-708890201/,,,#N/A,,#N/A,#N/A,#N/A,#N/A,41,CEO,David Perrin,2017,41,CEO,David Perrin,2017,#N/A,41,41,#N/A,#N/A,,,
,847540416,9/1/2019,#NUM!,HYMAG'IN,,,,,,,,,,,,,,,,,,,,,,,Céline Bonnaud;Camille Crouzet,2,0,current;current,1,2,female;male,mixte;mixte,8+;8+,1,yes;yes,0,no;no,2017;2016,Institut Polytechnique de Grenoble;Université Grenoble Alpes,corporate;corporate,https://www.linkedin.com/in/c%C3%A9line-bonnaud-95572092/;https://www.linkedin.com/in/camille-crouzet-61254768/,,,2;0,,no;no,0,0,yes;yes,31;31,CTO;CEO,Camille Crouzet,2016,31;31,CTO;CEO,Camille Crouzet,2016,engineer,31,31,Université Grenoble Alpes,0,,,
